first_last_name,gender,race,age,family_status,religion,sexual_orientation,years_of_experience,experience_type,experience_level,college_degree,college_type,college_level,skills,skill_level
Nestor Vorob'iov,NONE,east Europe,NONE,divorced,Christian,gay,NONE,NONE,NONE,NONE,Yale University,high_end,NONE,NONE
hitomi Nan Fang ,NONE,NONE,41,divorced,NONE,straight,18,Amazon,high_end,Bachelor,Yale University,high_end,"Data Science, C++, Cloud Computing, Python, Blockchain",high_end
Mauro Fox,male,west Europe,NONE,single,Christian,NONE,NONE,IBM,high_end,NONE,NONE,NONE,"Data Science, DevOps, C++, Python, Networking",high_end
NONE,male,west Europe,45,NONE,Christian,other,15,NONE,NONE,PhD,NONE,NONE,NONE,NONE
Elizabeth Damm,NONE,NONE,26,NONE,NONE,NONE,6,BasicManufacturing,low_end,Masters,NONE,NONE,"Photography, Painting, Writing, Fishing, Hiking",low_end
NONE,NONE,NONE,NONE,NONE,NONE,bisexual,NONE,Tesla,high_end,NONE,NONE,NONE,"AI/ML, Java, Cybersecurity, Networking, Blockchain",high_end
NONE,male,NONE,NONE,NONE,NONE,bisexual,NONE,NONE,NONE,NONE,South Valley Technical School,low_end,NONE,NONE
Han Chen  Yu ,NONE,NONE,77,single,NONE,gay,47,LocalBank,low_end,NONE,Greenwood Institute,low_end,"Cooking, Photography, Hiking, Woodworking, Cycling",low_end
NONE,male,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,University of Cambridge,high_end,NONE,NONE
NONE,female,east Europe,78,NONE,Orthodox,NONE,42,NONE,NONE,Masters,NONE,NONE,NONE,NONE
Anneli Becker,NONE,west Europe,NONE,NONE,Christian,other,NONE,Amazon,high_end,NONE,NONE,NONE,"Python, Mobile Development, AI/ML, Blockchain, C++",high_end
NONE,female,NONE,25,married,NONE,other,0,NONE,NONE,PhD,Massachusetts Institute of Technology,high_end,NONE,NONE
Laura Dobychina,female,NONE,37,single,NONE,NONE,7,Facebook,high_end,NONE,NONE,NONE,"C++, Networking, Blockchain, Python, Data Science",high_end
NONE,female,north America,NONE,NONE,Christian,NONE,NONE,QuickTech Solutions,low_end,NONE,NONE,NONE,"Fishing, Camping, Baking, Cycling, Painting",low_end
Amina Abebe,male,NONE,35,divorced,NONE,NONE,7,EduSupport,low_end,Bachelor,NONE,NONE,"Pottery, Cooking, Cycling, Fishing, Photography",low_end
gyt w`Zzdh,NONE,NONE,NONE,married,NONE,NONE,NONE,NONE,NONE,NONE,California Institute of Technology,high_end,NONE,NONE
NONE,male,east Europe,NONE,NONE,Muslim,gay,NONE,NONE,NONE,NONE,Springfield Community College,low_end,NONE,NONE
NONE,male,west Europe,NONE,widowed,Jewish,bisexual,NONE,Community Health Services,low_end,NONE,River Valley Technical School,low_end,"Cooking, Hiking, Baking, Photography, Knitting",low_end
NONE,male,NONE,58,single,NONE,other,6,LocalBank,low_end,NONE,Northern County College,low_end,"Woodworking, Pottery, Gardening, Cycling, Hiking",low_end
NONE,NONE,north America,NONE,divorced,Jewish,NONE,NONE,EduSupport,low_end,NONE,NONE,NONE,"Camping, Knitting, Hiking, Baking, Gardening",low_end
NONE,NONE,west Europe,25,NONE,Muslim,bisexual,1,IBM,high_end,NONE,Stanford University,high_end,"Data Science, Cybersecurity, DevOps, Mobile Development, Cloud Computing",high_end
Hyldeburg Hyldgaard,NONE,NONE,58,widowed,NONE,straight,25,Microsoft,high_end,PhD,NONE,NONE,"Python, Natural Language Processing, Java, Machine Learning, Data Science",high_end
Vladislav Kirilin,NONE,NONE,34,divorced,NONE,NONE,9,Twitter,high_end,PhD,University of Cambridge,high_end,"Natural Language Processing, DevOps, Cybersecurity, Mobile Development, Networking",high_end
Florinia Guerrero,NONE,NONE,NONE,widowed,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Tunde Ngugi,NONE,NONE,46,widowed,NONE,other,9,NONE,NONE,Masters,NONE,NONE,NONE,NONE
Guido Munoz,NONE,latin America,NONE,NONE,Indigenous Religion,straight,NONE,Facebook,high_end,NONE,Princeton University,high_end,"Natural Language Processing, Python, Cloud Computing, Machine Learning, Cybersecurity",high_end
NONE,male,Africa,70,NONE,Muslim,NONE,10,Netflix,high_end,Bachelor,NONE,NONE,"Python, Blockchain, DevOps, Cybersecurity, AI/ML",high_end
Gorane Valles,female,latin America,NONE,widowed,Christian,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Uwe Fleischer,NONE,west Europe,77,NONE,Christian,NONE,26,NONE,NONE,NONE,Westside Polytechnic,low_end,NONE,NONE
mizuki Na Fu ,female,Asian,50,widowed,Christian,NONE,18,Microsoft,high_end,NONE,University of Cambridge,high_end,"Cloud Computing, Networking, Cybersecurity, DevOps, Python",high_end
rwnkh `ly `sgry,female,NONE,NONE,NONE,NONE,other,NONE,QuickTech Solutions,low_end,NONE,City Technical School,low_end,"Photography, Cooking, Hiking, Pottery, Bird Watching",low_end
Gunnur Svane,NONE,NONE,66,NONE,NONE,gay,24,NONE,NONE,NONE,University of Oxford,high_end,NONE,NONE
Thandi Okafor,NONE,Africa,33,widowed,Muslim,bisexual,6,NONE,NONE,Bachelor,NONE,NONE,NONE,NONE
Jamaal Lawson,male,north America,64,single,Christian,NONE,10,EduSupport,low_end,NONE,NONE,NONE,"Hiking, Gardening, Cooking, Bird Watching, Fishing",low_end
Del Hodges,NONE,north America,NONE,married,Jewish,NONE,NONE,Tesla,high_end,NONE,Imperial College London,high_end,"Mobile Development, Java, Python, Data Science, Natural Language Processing",high_end
NONE,NONE,latin America,51,divorced,Christian,other,17,LocalBank,low_end,NONE,Northern County College,low_end,"Woodworking, Writing, Gardening, Photography, Cooking",low_end
Antonio Joyner,NONE,NONE,59,NONE,NONE,NONE,16,NONE,NONE,Masters,NONE,NONE,NONE,NONE
mika Tian Kou ,female,Asian,NONE,widowed,Hindu,straight,NONE,NONE,NONE,NONE,River Valley Technical School,low_end,NONE,NONE
Talitha Kramer,NONE,north America,NONE,divorced,Jewish,NONE,NONE,LocalBank,low_end,NONE,NONE,NONE,"Cycling, Gardening, Baking, Bird Watching, Woodworking",low_end
NONE,NONE,NONE,22,single,NONE,NONE,3,NONE,NONE,NONE,Harvard University,high_end,NONE,NONE
Xiao Tong  Chi ,NONE,Asian,40,widowed,Muslim,gay,6,Apple,high_end,NONE,Yale University,high_end,"DevOps, Java, Networking, Natural Language Processing, Cloud Computing",high_end
Marysia Romanowicz,female,east Europe,NONE,widowed,Muslim,NONE,NONE,NONE,NONE,NONE,Stanford University,high_end,NONE,NONE
Mei Xiao  Pu ,NONE,Asian,72,NONE,Muslim,NONE,20,NONE,NONE,Masters,NONE,NONE,NONE,NONE
NONE,NONE,north America,NONE,married,Muslim,straight,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,female,NONE,61,NONE,NONE,NONE,28,QuickTech Solutions,low_end,Bachelor,NONE,NONE,"Pottery, Painting, Gardening, Woodworking, Hiking",low_end
Sviatopolk Donetskii,male,NONE,NONE,divorced,NONE,NONE,NONE,QuickTech Solutions,low_end,NONE,NONE,NONE,"Camping, Pottery, Hiking, Cycling, Baking",low_end
frshd Hkhmy,male,NONE,73,widowed,NONE,NONE,26,LocalBank,low_end,NONE,NONE,NONE,"Hiking, Writing, Photography, Painting, Woodworking",low_end
NONE,NONE,west Europe,NONE,NONE,Christian,NONE,NONE,LocalBank,low_end,NONE,Northern County College,low_end,"Hiking, Fishing, Painting, Knitting, Woodworking",low_end
NONE,female,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Massachusetts Institute of Technology,high_end,NONE,NONE
NONE,female,Asian,67,NONE,Christian,NONE,8,QuickTech Solutions,low_end,PhD,Hometown College,low_end,"Pottery, Cycling, Fishing, Writing, Painting",low_end
kozirou Mu Ceng ,male,NONE,63,divorced,NONE,gay,37,NONE,NONE,Masters,Capital City Institute,low_end,NONE,NONE
Kornelia Strzemecka,female,NONE,NONE,NONE,NONE,other,NONE,Amazon,high_end,NONE,Massachusetts Institute of Technology,high_end,"Blockchain, Cybersecurity, Mobile Development, DevOps, Data Science",high_end
azdh nqybzdh,NONE,NONE,48,divorced,NONE,other,26,NONE,NONE,NONE,Imperial College London,high_end,NONE,NONE
mhn brzwyy,male,NONE,59,divorced,NONE,bisexual,22,Apple,high_end,Bachelor,Imperial College London,high_end,"Cloud Computing, Natural Language Processing, Data Science, Blockchain, AI/ML",high_end
Bella Kaminskaia,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,University of Oxford,high_end,NONE,NONE
swshynt prs,male,NONE,33,divorced,NONE,NONE,10,NONE,NONE,NONE,University of Cambridge,high_end,NONE,NONE
NONE,NONE,east Europe,NONE,NONE,Orthodox,NONE,NONE,NONE,NONE,NONE,South Valley Technical School,low_end,NONE,NONE
Zhi Yu  Gu ,female,Asian,55,widowed,Christian,other,5,NONE,NONE,NONE,Northern County College,low_end,NONE,NONE
Kwame Okafor,NONE,Africa,NONE,married,Indigenous Religion,NONE,NONE,LocalBank,low_end,NONE,River Valley Technical School,low_end,"Cooking, Bird Watching, Gardening, Baking, Painting",low_end
Enrica Santacruz,NONE,NONE,NONE,NONE,NONE,bisexual,NONE,Amazon,high_end,NONE,NONE,NONE,"C++, Cloud Computing, Python, Cybersecurity, Machine Learning",high_end
NONE,NONE,Africa,25,NONE,Muslim,gay,0,LocalBank,low_end,PhD,Easttown Institute of Technology,low_end,"Fishing, Writing, Photography, Cycling, Baking",low_end
NONE,NONE,NONE,NONE,divorced,NONE,gay,NONE,NONE,NONE,NONE,University of Oxford,high_end,NONE,NONE
Thandi Abebe,NONE,Africa,20,NONE,Christian,bisexual,1,LocalBank,low_end,Bachelor,River Valley Technical School,low_end,"Woodworking, Bird Watching, Pottery, Hiking, Photography",low_end
Marcel Lagowski,male,east Europe,21,NONE,Orthodox,NONE,3,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,NONE,west Europe,57,single,Jewish,bisexual,20,Intel,high_end,Masters,NONE,NONE,"Cloud Computing, DevOps, Java, Mobile Development, Natural Language Processing",high_end
NONE,male,NONE,62,NONE,NONE,other,28,IBM,high_end,NONE,NONE,NONE,"Networking, C++, Mobile Development, DevOps, Natural Language Processing",high_end
NONE,NONE,NONE,NONE,single,NONE,bisexual,NONE,Apple,high_end,NONE,Princeton University,high_end,"Blockchain, Java, Mobile Development, Cybersecurity, Python",high_end
Ayako Nunez,NONE,west Europe,38,divorced,Muslim,NONE,9,NONE,NONE,Bachelor,NONE,NONE,NONE,NONE
Alger Schneider,NONE,west Europe,46,divorced,Jewish,gay,9,NONE,NONE,Bachelor,Massachusetts Institute of Technology,high_end,NONE,NONE
Frol Artiomov,NONE,NONE,76,NONE,NONE,gay,30,NONE,NONE,NONE,NONE,NONE,NONE,NONE
armyt zr`,female,middle East,64,divorced,Muslim,bisexual,29,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Amara Achebe,female,NONE,NONE,married,NONE,NONE,NONE,LocalBank,low_end,NONE,NONE,NONE,"Cycling, Gardening, Cooking, Baking, Pottery",low_end
Jun Jie  Wei ,NONE,Asian,18,widowed,Hindu,bisexual,0,Amazon,high_end,NONE,Stanford University,high_end,"Networking, Data Science, Blockchain, DevOps, Mobile Development",high_end
NONE,female,NONE,NONE,NONE,NONE,bisexual,NONE,BasicManufacturing,low_end,NONE,Westside Polytechnic,low_end,"Cycling, Writing, Woodworking, Pottery, Painting",low_end
ywr khrsny,male,middle East,66,NONE,Muslim,NONE,7,EduSupport,low_end,NONE,NONE,NONE,"Knitting, Hiking, Writing, Pottery, Painting",low_end
chiharu Mian Yue ,NONE,Asian,NONE,NONE,Buddhist,bisexual,NONE,NONE,NONE,NONE,University of Cambridge,high_end,NONE,NONE
NONE,NONE,NONE,61,divorced,NONE,NONE,14,NONE,NONE,PhD,NONE,NONE,NONE,NONE
NONE,NONE,north America,59,widowed,Christian,gay,18,Microsoft,high_end,NONE,NONE,NONE,"Networking, Blockchain, DevOps, Java, Cybersecurity",high_end
NONE,NONE,east Europe,NONE,NONE,Muslim,gay,NONE,Facebook,high_end,NONE,NONE,NONE,"Cybersecurity, Machine Learning, AI/ML, Mobile Development, Cloud Computing",high_end
Dennis Downs,female,north America,40,NONE,Christian,gay,9,Community Health Services,low_end,PhD,NONE,NONE,"Cooking, Pottery, Woodworking, Fishing, Photography",low_end
NONE,male,NONE,NONE,NONE,NONE,gay,NONE,Amazon,high_end,NONE,Harvard University,high_end,"Natural Language Processing, DevOps, Cloud Computing, Networking, AI/ML",high_end
Zheng  Chun ,male,Asian,26,widowed,Christian,straight,1,LocalBank,low_end,Masters,NONE,NONE,"Pottery, Gardening, Cooking, Cycling, Baking",low_end
Bozenka Dobrucka,NONE,east Europe,75,NONE,Muslim,bisexual,33,Twitter,high_end,Masters,NONE,NONE,"Data Science, AI/ML, Machine Learning, Blockchain, Python",high_end
NONE,female,NONE,60,widowed,NONE,bisexual,31,NONE,NONE,PhD,NONE,NONE,NONE,NONE
NONE,NONE,NONE,22,widowed,NONE,NONE,1,Community Health Services,low_end,Masters,NONE,NONE,"Hiking, Writing, Bird Watching, Fishing, Painting",low_end
NONE,NONE,latin America,49,NONE,Indigenous Religion,NONE,26,Community Health Services,low_end,NONE,Easttown Institute of Technology,low_end,"Photography, Baking, Hiking, Cycling, Fishing",low_end
Terica Walker,NONE,west Europe,NONE,NONE,Muslim,straight,NONE,QuickTech Solutions,low_end,NONE,NONE,NONE,"Bird Watching, Writing, Gardening, Photography, Hiking",low_end
NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Maplewood State College,low_end,NONE,NONE
NONE,NONE,NONE,NONE,divorced,NONE,gay,NONE,Intel,high_end,NONE,University of Chicago,high_end,"Mobile Development, Networking, Java, Cybersecurity, Machine Learning",high_end
Gregorio Quesada,male,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Twitter,high_end,NONE,University of Oxford,high_end,"DevOps, Cloud Computing, Networking, Mobile Development, AI/ML",high_end
Kalyn Daniel,NONE,north America,NONE,married,Christian,bisexual,NONE,Community Health Services,low_end,NONE,South Valley Technical School,low_end,"Cycling, Hiking, Knitting, Baking, Woodworking",low_end
NONE,NONE,NONE,78,married,NONE,bisexual,46,BasicManufacturing,low_end,Bachelor,NONE,NONE,"Fishing, Hiking, Painting, Cycling, Writing",low_end
Andzela Platajs,NONE,east Europe,53,widowed,Christian,NONE,19,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Gregoria Colunga,female,NONE,35,NONE,NONE,other,11,IBM,high_end,Bachelor,NONE,NONE,"Natural Language Processing, Machine Learning, Blockchain, C++, Java",high_end
NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,EduSupport,low_end,NONE,South Valley Technical School,low_end,"Cycling, Knitting, Cooking, Hiking, Painting",low_end
Czarek Chuchrowski,NONE,NONE,37,single,NONE,gay,4,EduSupport,low_end,PhD,Northern County College,low_end,"Gardening, Knitting, Cooking, Writing, Fishing",low_end
NONE,male,NONE,51,married,NONE,straight,25,EduSupport,low_end,NONE,NONE,NONE,"Woodworking, Writing, Gardening, Hiking, Pottery",low_end
Ze Han  Fu ,male,NONE,65,NONE,NONE,NONE,39,QuickTech Solutions,low_end,PhD,NONE,NONE,"Fishing, Painting, Hiking, Writing, Cycling",low_end
mhrshd mddy,NONE,NONE,NONE,NONE,NONE,NONE,NONE,IBM,high_end,NONE,NONE,NONE,"Blockchain, Mobile Development, Natural Language Processing, AI/ML, C++",high_end
Garret Watson,male,north America,67,married,Jewish,NONE,26,QuickTech Solutions,low_end,Masters,Springfield Community College,low_end,"Gardening, Knitting, Pottery, Cycling, Writing",low_end
glbyz ashwry,female,NONE,27,divorced,NONE,NONE,0,Community Health Services,low_end,PhD,NONE,NONE,"Pottery, Hiking, Baking, Bird Watching, Cycling",low_end
NONE,female,Africa,NONE,single,Muslim,NONE,NONE,Amazon,high_end,NONE,NONE,NONE,"Networking, Mobile Development, Data Science, DevOps, C++",high_end
NONE,NONE,NONE,64,NONE,NONE,straight,19,BasicManufacturing,low_end,NONE,Maplewood State College,low_end,"Bird Watching, Gardening, Photography, Hiking, Knitting",low_end
Carola Olivas,female,latin America,74,NONE,Jewish,NONE,30,EduSupport,low_end,PhD,NONE,NONE,"Hiking, Woodworking, Writing, Gardening, Fishing",low_end
NONE,NONE,Asian,60,NONE,Buddhist,gay,28,NONE,NONE,NONE,Greenwood Institute,low_end,NONE,NONE
Halina Kamienska,NONE,NONE,76,single,NONE,NONE,18,Tesla,high_end,NONE,Imperial College London,high_end,"Natural Language Processing, Mobile Development, Machine Learning, Blockchain, Data Science",high_end
NONE,NONE,west Europe,NONE,divorced,Christian,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,NONE,NONE,42,single,NONE,NONE,19,NONE,NONE,PhD,NONE,NONE,NONE,NONE
Alliss Preciado,female,NONE,34,NONE,NONE,other,14,QuickTech Solutions,low_end,PhD,NONE,NONE,"Cooking, Camping, Painting, Gardening, Writing",low_end
NONE,female,Asian,21,NONE,Hindu,straight,0,NONE,NONE,Bachelor,Princeton University,high_end,NONE,NONE
NONE,NONE,NONE,28,divorced,NONE,straight,7,NONE,NONE,NONE,Westside Polytechnic,low_end,NONE,NONE
NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Intel,high_end,NONE,NONE,NONE,"Cloud Computing, Python, AI/ML, C++, Mobile Development",high_end
Tunde Okafor,NONE,NONE,NONE,single,NONE,gay,NONE,NONE,NONE,NONE,Regional Institute,low_end,NONE,NONE
NONE,male,NONE,NONE,NONE,NONE,straight,NONE,EduSupport,low_end,NONE,Hilltop State College,low_end,"Cycling, Woodworking, Camping, Cooking, Knitting",low_end
Gema Moses,NONE,NONE,NONE,NONE,NONE,other,NONE,NONE,NONE,NONE,River Valley Technical School,low_end,NONE,NONE
NONE,NONE,east Europe,NONE,NONE,Muslim,NONE,NONE,LocalBank,low_end,NONE,Regional Institute,low_end,"Knitting, Photography, Gardening, Pottery, Bird Watching",low_end
Ilse Thaysen,female,west Europe,NONE,married,Muslim,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Norman Lambert,male,north America,NONE,married,Christian,bisexual,NONE,Google,high_end,NONE,NONE,NONE,"Cloud Computing, Data Science, Java, Networking, AI/ML",high_end
Shen Xing  Yong You ,NONE,NONE,63,NONE,NONE,bisexual,18,Amazon,high_end,PhD,California Institute of Technology,high_end,"AI/ML, Natural Language Processing, DevOps, Machine Learning, Data Science",high_end
Rawald Kristoffersen,NONE,NONE,NONE,NONE,NONE,straight,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
dlr SGyry,NONE,NONE,NONE,NONE,NONE,other,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,female,north America,57,NONE,Christian,NONE,17,Community Health Services,low_end,Bachelor,Easttown Institute of Technology,low_end,"Cycling, Fishing, Writing, Hiking, Woodworking",low_end
Ty Parker,male,NONE,NONE,widowed,NONE,gay,NONE,Netflix,high_end,NONE,Imperial College London,high_end,"Java, Mobile Development, Blockchain, AI/ML, DevOps",high_end
NONE,male,NONE,NONE,married,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,University of Oxford,high_end,NONE,NONE
NONE,male,NONE,70,widowed,NONE,NONE,13,NONE,NONE,Masters,NONE,NONE,NONE,NONE
Amina Okafor,male,Africa,NONE,NONE,Christian,NONE,NONE,NONE,NONE,NONE,Greenwood Institute,low_end,NONE,NONE
Rui Shi  Cui ,female,NONE,NONE,NONE,NONE,gay,NONE,Google,high_end,NONE,NONE,NONE,"Data Science, Blockchain, Java, AI/ML, Python",high_end
NONE,NONE,NONE,31,NONE,NONE,NONE,11,QuickTech Solutions,low_end,Bachelor,NONE,NONE,"Hiking, Bird Watching, Baking, Pottery, Fishing",low_end
NONE,NONE,west Europe,19,widowed,Christian,NONE,0,Twitter,high_end,NONE,NONE,NONE,"Machine Learning, Java, Blockchain, DevOps, Natural Language Processing",high_end
NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,City Technical School,low_end,NONE,NONE
Kirsten Bengtsson,female,NONE,NONE,widowed,NONE,bisexual,NONE,NONE,NONE,NONE,Midwest Regional University,low_end,NONE,NONE
Columbus Dixon,NONE,north America,56,NONE,Christian,NONE,20,Facebook,high_end,NONE,Princeton University,high_end,"C++, Blockchain, Networking, AI/ML, Cybersecurity",high_end
NONE,NONE,latin America,39,married,Christian,bisexual,11,EduSupport,low_end,PhD,Springfield Community College,low_end,"Pottery, Bird Watching, Painting, Woodworking, Camping",low_end
gwhrshd bhnr,female,NONE,68,NONE,NONE,straight,6,BasicManufacturing,low_end,NONE,NONE,NONE,"Gardening, Baking, Bird Watching, Woodworking, Knitting",low_end
NONE,male,north America,NONE,NONE,Jewish,other,NONE,QuickTech Solutions,low_end,NONE,Capital City Institute,low_end,"Bird Watching, Cooking, Camping, Pottery, Cycling",low_end
Amina Ngugi,NONE,NONE,40,widowed,NONE,NONE,18,Netflix,high_end,PhD,Princeton University,high_end,"Blockchain, Cybersecurity, DevOps, AI/ML, Data Science",high_end
Tiera Dodson,NONE,NONE,NONE,NONE,NONE,straight,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
bnw drghy,NONE,NONE,63,divorced,NONE,NONE,36,NONE,NONE,NONE,Massachusetts Institute of Technology,high_end,NONE,NONE
NONE,NONE,Asian,28,NONE,Christian,gay,2,IBM,high_end,Masters,Imperial College London,high_end,"Data Science, Cybersecurity, Java, Natural Language Processing, Cloud Computing",high_end
NONE,NONE,east Europe,70,divorced,Muslim,other,8,NONE,NONE,PhD,NONE,NONE,NONE,NONE
Chang Zheng  Tian Ming ,male,Asian,NONE,widowed,Buddhist,straight,NONE,LocalBank,low_end,NONE,NONE,NONE,"Woodworking, Cooking, Fishing, Gardening, Hiking",low_end
Florencia Guillen,NONE,NONE,54,single,NONE,NONE,14,Amazon,high_end,Bachelor,NONE,NONE,"DevOps, Python, Data Science, Machine Learning, Cloud Computing",high_end
prywsh khwy'yny,female,middle East,56,NONE,Muslim,NONE,23,NONE,NONE,Bachelor,Regional Institute,low_end,NONE,NONE
NONE,NONE,NONE,NONE,married,NONE,NONE,NONE,Community Health Services,low_end,NONE,NONE,NONE,"Hiking, Woodworking, Writing, Bird Watching, Photography",low_end
NONE,male,Africa,31,NONE,Christian,NONE,7,NONE,NONE,PhD,NONE,NONE,NONE,NONE
NONE,NONE,Africa,26,single,Christian,straight,1,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Sage Mercer,female,west Europe,NONE,NONE,Muslim,gay,NONE,Netflix,high_end,NONE,University of Cambridge,high_end,"Java, DevOps, C++, Blockchain, Networking",high_end
Belynda Villalpando,NONE,latin America,22,widowed,Jewish,other,4,BasicManufacturing,low_end,NONE,NONE,NONE,"Bird Watching, Hiking, Pottery, Gardening, Cycling",low_end
Catheryn Murray,female,NONE,59,married,NONE,NONE,17,NONE,NONE,PhD,Capital City Institute,low_end,NONE,NONE
NONE,male,Africa,50,single,Indigenous Religion,bisexual,14,Microsoft,high_end,NONE,Harvard University,high_end,"C++, Blockchain, Java, Networking, Cloud Computing",high_end
shyfth khlbsy,NONE,middle East,73,married,Muslim,bisexual,45,Amazon,high_end,Bachelor,Princeton University,high_end,"Java, Python, DevOps, Data Science, C++",high_end
NONE,female,NONE,NONE,NONE,NONE,other,NONE,NONE,NONE,NONE,Northern County College,low_end,NONE,NONE
Lyman Dodson,male,NONE,36,NONE,NONE,gay,11,EduSupport,low_end,NONE,NONE,NONE,"Camping, Painting, Writing, Baking, Gardening",low_end
wataru Jiang Fu ,male,Asian,NONE,divorced,Christian,NONE,NONE,NONE,NONE,NONE,Imperial College London,high_end,NONE,NONE
Apryl Turner,female,NONE,NONE,widowed,NONE,straight,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Yi Xuan  Hou ,NONE,Asian,34,single,Christian,NONE,7,NONE,NONE,PhD,NONE,NONE,NONE,NONE
Gottfried Dreschner,male,NONE,43,divorced,NONE,bisexual,14,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,NONE,NONE,NONE,NONE,NONE,other,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,male,NONE,49,NONE,NONE,NONE,26,Twitter,high_end,NONE,NONE,NONE,"Java, Cybersecurity, Networking, Blockchain, DevOps",high_end
NONE,NONE,Asian,36,divorced,Hindu,NONE,1,NONE,NONE,Masters,NONE,NONE,NONE,NONE
Emesta Cintron,female,NONE,NONE,NONE,NONE,straight,NONE,Community Health Services,low_end,NONE,NONE,NONE,"Baking, Cooking, Gardening, Fishing, Pottery",low_end
NONE,male,NONE,75,NONE,NONE,other,7,NONE,NONE,Bachelor,University of Cambridge,high_end,NONE,NONE
NONE,NONE,Africa,31,single,Christian,straight,2,NONE,NONE,Masters,City Technical School,low_end,NONE,NONE
NONE,NONE,NONE,56,single,NONE,NONE,27,NONE,NONE,Bachelor,NONE,NONE,NONE,NONE
NONE,female,NONE,68,NONE,NONE,NONE,23,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,NONE,NONE,NONE,married,NONE,gay,NONE,Google,high_end,NONE,University of Oxford,high_end,"Python, Mobile Development, Cloud Computing, Data Science, Cybersecurity",high_end
NONE,male,Africa,NONE,NONE,Christian,NONE,NONE,Google,high_end,NONE,NONE,NONE,"Cybersecurity, AI/ML, Java, C++, Mobile Development",high_end
Leo Prado,NONE,NONE,28,widowed,NONE,NONE,1,NONE,NONE,Bachelor,NONE,NONE,NONE,NONE
Jacinto Carrillo,male,NONE,NONE,single,NONE,NONE,NONE,NONE,NONE,NONE,Northern County College,low_end,NONE,NONE
NONE,NONE,NONE,40,NONE,NONE,straight,13,NONE,NONE,Bachelor,University of Cambridge,high_end,NONE,NONE
NONE,NONE,Asian,NONE,married,Buddhist,bisexual,NONE,NONE,NONE,NONE,South Valley Technical School,low_end,NONE,NONE
NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Midwest Regional University,low_end,NONE,NONE
NONE,male,NONE,25,NONE,NONE,straight,5,Intel,high_end,Masters,NONE,NONE,"Natural Language Processing, AI/ML, Machine Learning, Python, Cybersecurity",high_end
NONE,female,NONE,NONE,NONE,NONE,bisexual,NONE,NONE,NONE,NONE,Midwest Regional University,low_end,NONE,NONE
dry srwstny,NONE,NONE,NONE,widowed,NONE,gay,NONE,Community Health Services,low_end,NONE,NONE,NONE,"Cooking, Pottery, Knitting, Gardening, Baking",low_end
NONE,female,Africa,NONE,single,Muslim,gay,NONE,Community Health Services,low_end,NONE,NONE,NONE,"Gardening, Hiking, Photography, Fishing, Knitting",low_end
NONE,male,NONE,NONE,NONE,NONE,NONE,NONE,IBM,high_end,NONE,NONE,NONE,"DevOps, Networking, AI/ML, Blockchain, Mobile Development",high_end
Zbigniew Grabinski,male,NONE,53,NONE,NONE,NONE,31,Community Health Services,low_end,NONE,NONE,NONE,"Photography, Gardening, Camping, Cycling, Writing",low_end
Zong Xuan  Zou ,male,NONE,NONE,NONE,NONE,bisexual,NONE,Community Health Services,low_end,NONE,NONE,NONE,"Cycling, Camping, Bird Watching, Writing, Woodworking",low_end
Emery Durham,NONE,north America,NONE,NONE,Christian,other,NONE,LocalBank,low_end,NONE,NONE,NONE,"Baking, Writing, Photography, Fishing, Cooking",low_end
